ids	full_title
1st Lt	First Lieutenant
1st Sgt	First Sergeant
2nd Lt	Second Lieutenant
Adm	Admiral
Agent	Agent
Amn	Airman
Assoc Prof	Associate Professor
Asst Prof	Assistant Professor
Brig Gen	Brigadier General
Capt	Captain
Ch	Chairperson
Chanc	Chancellor
Chf	Chief
CPO	Chief Petty Officer
Cmdr	Commander
Coach	Coach
Cmdre	Commodore
Cpl	Corporal
Dame	Dame
Dean	Dean
Det	Detective
Dir	Director
Elder	Elder
Ens	Ensign
Fr	Father
Gen	General
Gunnery Sgt	Gunnery Sergeant
Hd Coach	Head Coach
HH	Her Holiness
HH	His Holiness
Imam	Imam
Lady	Lady
Lance Cpl	Lance Corporal
Ld	Lord
Lt Cmdr	Lieutenant Commander
Lt Col	Lieutenant Colonel
Lt Gen	Lieutenant General
Maj	Major
Maj Gen	Major General
Master	Master
Master Sgt	Master Sergeant
Miss	Miss
Mr	Mr
Mrs	Mrs
Ms	Ms
Mx	Mx
Ofc	Officer
Pfc	Private First Class
Pres	President
Prin	Principal
Prof	Professor
Prov	Provost
Pvt	Private
Rab	Rabbi
Rear Adm	Rear Admiral
Rev	Reverend
Sman	Seaman
Sen	Senator
Sgt	Sergeant
Sgt 1st Class	Sergeant First Class
Sgt Maj	Sergeant Major
Sir	Sir
SA	Special Agent
Spec	Specialist
Staff Sgt	Staff Sergeant
The Hon	The Honorable
TH	Their Holiness
Tpr	Trooper
Ven	Venerable
Vice Adm	Vice Admiral
Vice Dean	Vice Dean
VP	Vice President
Vice-Chancellor	Vice Chancellor
